Input	Match type	Approved symbol	Approved name	HGNC ID	Location
PUF60	Approved symbol	PUF60	poly(U) binding splicing factor 60	HGNC:17042	8q24.3
RALYL	Approved symbol	RALYL	RALY RNA binding protein like	HGNC:27036	8q21.2
ELAVL4	Approved symbol	ELAVL4	ELAV like RNA binding protein 4	HGNC:3315	1p33-p32.3
TRNAU1AP	Approved symbol	TRNAU1AP	tRNA selenocysteine 1 associated protein 1	HGNC:30813	1p35.3
BOLL	Approved symbol	BOLL	boule homolog, RNA binding protein	HGNC:14273	2q33.1
RBM15B	Approved symbol	RBM15B	RNA binding motif protein 15B	HGNC:24303	3p21.2
PTBP3	Approved symbol	PTBP3	polypyrimidine tract binding protein 3	HGNC:10253	9q32
RBM4B	Approved symbol	RBM4B	RNA binding motif protein 4B	HGNC:28842	11q13
RBM4	Approved symbol	RBM4	RNA binding motif protein 4	HGNC:9901	11q13.2
RBM22	Approved symbol	RBM22	RNA binding motif protein 22	HGNC:25503	5q33.1
MBNL1	Approved symbol	MBNL1	muscleblind like splicing regulator 1	HGNC:6923	3q25.1-q25.2
RBM45	Approved symbol	RBM45	RNA binding motif protein 45	HGNC:24468	2q31.2
HNRNPK	Approved symbol	HNRNPK	heterogeneous nuclear ribonucleoprotein K	HGNC:5044	9q21.32
PCBP1	Approved symbol	PCBP1	poly(rC) binding protein 1	HGNC:8647	2p13.3
PCBP2	Approved symbol	PCBP2	poly(rC) binding protein 2	HGNC:8648	12q13.13
RBM23	Approved symbol	RBM23	RNA binding motif protein 23	HGNC:20155	14q11.2
PCBP4	Approved symbol	PCBP4	poly(rC) binding protein 4	HGNC:8652	3p21.2
RBM6	Approved symbol	RBM6	RNA binding motif protein 6	HGNC:9903	3p21.31
SRSF2	Approved symbol	SRSF2	serine and arginine rich splicing factor 2	HGNC:10783	17q25.2
SRSF4	Approved symbol	SRSF4	serine and arginine rich splicing factor 4	HGNC:10786	1p35.3
SRSF10	Approved symbol	SRSF10	serine and arginine rich splicing factor 10	HGNC:16713	1p36.11
SRSF5	Approved symbol	SRSF5	serine and arginine rich splicing factor 5	HGNC:10787	14q24
SRSF8	Approved symbol	SRSF8	serine and arginine rich splicing factor 8	HGNC:16988	11q21
SNRPA	Approved symbol	SNRPA	small nuclear ribonucleoprotein polypeptide A	HGNC:11151	19q13.1
RBFOX3	Approved symbol	RBFOX3	RNA binding fox-1 homolog 3	HGNC:27097	17q25.3
RBFOX2	Approved symbol	RBFOX2	RNA binding fox-1 homolog 2	HGNC:9906	22q12.3
ZNF326	Approved symbol	ZNF326	zinc finger protein 326	HGNC:14104	1p22.2
RBM25	Approved symbol	RBM25	RNA binding motif protein 25	HGNC:23244	14q24.2
HNRNPH2	Approved symbol	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	HGNC:5042	Xq22.1
TAF15	Approved symbol	TAF15	TATA-box binding protein associated factor 15	HGNC:11547	17q12
HNRNPF	Approved symbol	HNRNPF	heterogeneous nuclear ribonucleoprotein F	HGNC:5039	10q11.21
ESRP1	Approved symbol	ESRP1	epithelial splicing regulatory protein 1	HGNC:25966	8q22.1
EWSR1	Approved symbol	EWSR1	EWS RNA binding protein 1	HGNC:3508	22q12.2
HNRNPA2B1	Approved symbol	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	HGNC:5033	7p15.2
FUS	Approved symbol	FUS	FUS RNA binding protein	HGNC:4010	16p11.2
ILF2	Approved symbol	ILF2	interleukin enhancer binding factor 2	HGNC:6037	1q21.3
SRSF9	Approved symbol	SRSF9	serine and arginine rich splicing factor 9	HGNC:10791	12q24.31
SRSF11	Approved symbol	SRSF11	serine and arginine rich splicing factor 11	HGNC:10782	1p31.1
